Ticket,Symbol,Type,Volume_Lots,Open_Price,Close_Price,SL,TP,Open_Time,Close_Time,PnL,Outcome,Model_Source,Regime,Timeframe
51b5c606ed597695,USDCHF,SELL,,0.80875,0.8087,0.0,0.0,2026-06-26T12:07:47+00:00,2026-06-26T12:09:43+00:00,0.51,take_profit,MT5_BACKFILL,UNKNOWN,
0cf330fa274e0929,GBPUSD,SELL,,1.32228,1.32233,0.0,0.0,2026-06-26T12:42:21+00:00,2026-06-26T12:44:07+00:00,0.71,stop_loss,MT5_BACKFILL,UNKNOWN,
2d69cdc5e6e6907c,GBPUSD,BUY,,1.32224,1.32198,0.0,0.0,2026-06-26T12:45:13+00:00,2026-06-26T13:31:36+00:00,-0.78,stop_loss,MT5_BACKFILL,UNKNOWN,
f65975650a52f3cc,USDCHF,BUY,,0.80789,0.80779,0.0,0.0,2026-06-26T12:50:07+00:00,2026-06-26T12:52:39+00:00,0.64,stop_loss,MT5_BACKFILL,UNKNOWN,
fd79f852ac4ce454,USDCAD,BUY,,1.41827,1.41839,0.0,0.0,2026-06-26T12:54:20+00:00,2026-06-26T12:56:15+00:00,0.23,take_profit,MT5_BACKFILL,UNKNOWN,
ae4d77c497123dc1,USDCAD,SELL,,1.41845,1.41819,0.0,0.0,2026-06-26T13:02:51+00:00,2026-06-26T13:31:31+00:00,0.55,take_profit,MT5_BACKFILL,UNKNOWN,
e8c8c5ab9d755860,USDCAD,SELL,,1.41815,1.41758,0.0,0.0,2026-06-26T14:22:21+00:00,2026-06-26T17:00:27+00:00,1.21,take_profit,MT5_BACKFILL,UNKNOWN,
3867f28adbd69e93,USDCAD,SELL,,1.41806,1.41753,0.0,0.0,2026-06-26T14:31:40+00:00,2026-06-26T17:00:29+00:00,1.12,take_profit,MT5_BACKFILL,UNKNOWN,
4b01e949e0923bf8,USDCAD,BUY,,1.38293,1.3833,1.380835635,1.38705873,2026-03-26T13:31:47+00:00,2026-03-26T16:17:55+00:00,0.27,take_profit,MT5_BACKFILL,UNKNOWN,
661fca2a9f7c2657,UK100.cash,BUY,,10008.15,9995.5,9988.1337,10078.207049999999,2026-03-26T13:31:54+00:00,2026-03-26T13:54:38+00:00,-25.35,stop_loss,MT5_BACKFILL,UNKNOWN,
6de83580763f242b,AUDUSD,SELL,,0.69371,0.69165,0.6947705949999999,0.69164881,2026-03-26T13:32:01+00:00,2026-03-26T14:52:02+00:00,306.94,take_profit,MT5_BACKFILL,UNKNOWN,
e525dfb63e502af2,USDJPY,BUY,,159.452,159.555,159.210825,160.0479375,2026-03-26T13:32:08+00:00,2026-03-26T16:15:55+00:00,0.65,take_profit,MT5_BACKFILL,UNKNOWN,
3992736bd8423a4d,GBPUSD,SELL,,1.336,1.33279,1.33802403,1.331009925,2026-03-26T13:32:15+00:00,2026-03-26T15:57:18+00:00,3.21,take_profit,MT5_BACKFILL,UNKNOWN,
6e7d209578adb953,NZDUSD,SELL,,0.57896,0.57725,0.5798484700000001,0.57724306,2026-03-26T13:32:22+00:00,2026-03-26T15:00:09+00:00,256.5,take_profit,MT5_BACKFILL,UNKNOWN,
fd021bbeb1c4e2bc,UK100.cash,SELL,,9998.0,10017.95,10017.996,9928.014,2026-03-26T13:59:06+00:00,2026-03-26T17:16:10+00:00,-39.99,stop_loss,MT5_BACKFILL,UNKNOWN,
20fa5d0a36c3ff0d,US100.cash,SELL,,23968.15,24017.38,24016.286699999997,23800.571549999997,2026-03-26T13:59:13+00:00,2026-03-26T16:53:58+00:00,-73.85,stop_loss,MT5_BACKFILL,UNKNOWN,
314f2f88bf2084b6,GBPUSD,BUY,,1.33319,1.33573,1.3311602599999999,1.33815935,2026-03-26T16:00:19+00:00,2026-03-26T18:21:21+00:00,5.08,take_profit,MT5_BACKFILL,UNKNOWN,
7b253f8b64d89397,GBPCHF,BUY,,1.05758,1.05861,1.05936667,1.053813325,2026-03-26T16:04:59+00:00,2026-03-26T16:30:36+00:00,-1.07,take_profit,MT5_BACKFILL,UNKNOWN,
06b80a53cf74304a,US100.cash,BUY,,23889.58,23840.43,23841.50144,24056.50496,2026-03-26T18:05:07+00:00,2026-03-26T19:16:38+00:00,-73.73,stop_loss,MT5_BACKFILL,UNKNOWN,
2d1426e27e757e4d,GBPCHF,BUY,,1.05995,1.05943,1.058320135,1.0638846624999998,2026-03-26T18:05:14+00:00,2026-03-26T22:32:11+00:00,-98.05,stop_loss,MT5_BACKFILL,UNKNOWN,
778eb534ec1caf0c,UK100.cash,SELL,,9977.8,9948.15,9998.256599999999,9908.4519,2026-03-26T18:17:44+00:00,2026-03-26T22:32:09+00:00,59.24,take_profit,MT5_BACKFILL,UNKNOWN,
05c1e5122d9f7584,NZDUSD,SELL,,0.57798,0.5769,0.5788669999999999,0.576266,2026-03-26T18:17:51+00:00,2026-03-26T19:51:18+00:00,1.08,take_profit,MT5_BACKFILL,UNKNOWN,
6d494c61f3a4f2cb,GBPUSD,SELL,,1.33238,1.33187,1.3343785700000002,1.327383575,2026-03-26T21:07:10+00:00,2026-03-26T22:32:04+00:00,47.94,take_profit,MT5_BACKFILL,UNKNOWN,
de89d71064e1ceee,USDJPY,BUY,,159.77,159.812,159.528348,160.36713,2026-03-26T21:58:29+00:00,2026-03-26T22:32:06+00:00,39.42,take_profit,MT5_BACKFILL,UNKNOWN,
